fen,eval
rn1qkbnr/p3p1pp/b1pp4/1B3p2/1P2PPP1/7P/P1PP4/RNBQK1NR b KQkq - 0 7,-255
2bk1b1Q/r2p3p/2nP4/pP3pP1/8/4P1PN/PB5P/RN2KB1R w KQ - 1 20,#+1
8/5k2/8/6B1/2P5/P4P1N/4P1RP/3R1K2 b - - 2 45,+7837
4k2r/8/1K6/6P1/5p2/8/2R5/8 b - - 7 50,-48
1n4n1/3p1b2/8/1k3P2/4KB2/P1r5/3r4/8 w - - 0 38,-1044
rnbqkb1r/pp1p2pp/5p2/8/2pp2nP/BP3N2/P1PNPP2/R2QKB1R w KQkq - 0 8,-4
4k3/3n4/8/3pB3/3p3P/b6N/5P2/5K2 w - - 1 37,+31
1nk4r/2pp3p/4pp1n/6p1/2P5/3QP2P/R2P2Bb/1NB1K1N1 b - - 0 14,+1265
Rn6/3k1pp1/8/8/2Pq3p/8/3KP2P/3Q4 w - - 0 29,+543
3k2r1/5p1p/8/2p5/p1P5/5PPB/1b1P1K1P/2N2R2 b - - 2 24,+342
2R5/1pp5/r1k3p1/7p/3pP3/p4K2/3B4/8 b - - 1 37,-1047
rnb2bn1/pp1kpp1r/2p5/7p/4P3/N1P5/PP1B1PPP/R3K1NR w KQ - 1 10,-585
rnbqkbnr/pp1pppp1/2p4p/8/4P1P1/3P4/PPP2P1P/RNBQKBNR b KQkq - 0 3,-60
3k4/8/1p1p3K/P7/4p3/P5P1/7P/5N2 b - - 0 30,+869
1n3b2/7p/5kr1/p7/P4q2/RP3R2/3PK1P1/8 w - - 6 30,-6
2k5/2p3Bp/4p3/2r5/p7/7R/2PP4/5KN1 w - - 3 24,+741
rnbqkbnr/pp2pppp/2p5/3p4/5PP1/4P3/PPPP3P/RNBQKBNR b KQkq - 0 3,-202
r2k4/8/5b2/1p1p4/7p/2pP4/6KP/2N2B2 w - - 0 39,-937
r1b1kbnr/pBpp1p1p/1n2pq2/6N1/3P1P2/6P1/PPPNP2P/R1BQK2R b KQkq - 0 8,-504
2r1kbnr/3nppp1/1p5p/pP6/3p3P/N4P2/P2P2R1/1RB1K1N1 w k - 6 20,-337
3k4/p1R4p/8/1p4p1/1P3p2/1P3PPP/3K3R/7B w - - 0 33,+2501
8/8/2p4n/k5N1/2pn1p1K/8/1P6/8 w - - 8 48,-789
8/1P5k/5P2/5R1P/2p5/1P6/P2B4/R6K w - - 0 34,#+3
r1n3k1/p1B2p2/2N5/5p2/q1p5/5K2/8/5b2 w - - 0 31,-1848
8/5b1r/1k3P2/3p4/8/Pn4R1/6r1/4K3 w - - 2 40,-833
4k3/8/6P1/p4P2/p1p1P2B/8/6r1/4K3 w - - 0 42,-243
4kbnr/2B1p3/7p/R2p1p2/8/7b/1Q2B1PP/6KR w - - 0 24,#+4
r2knb2/8/n3b1pr/RP1p4/6Pp/2PKP3/1P1P1P1P/2BQ1B1R w - - 1 19,+1300
1n3bnr/1B2k1pp/8/pN3b2/P2p2PP/8/1Q3P2/R1B1K2R w KQ - 2 19,+2522
1n2rk2/p7/8/N2p3r/1P3K2/1Q2n3/2BP4/1NB5 b - - 1 37,+299
7r/6b1/1knR1p2/5p1p/8/5r2/1K6/8 w - - 0 40,-6021
2R2k2/8/B5P1/8/P5P1/N7/2K5/8 b - - 2 46,+7046
3k4/6pp/2Q5/5r2/2n3PP/P6N/2P1KP2/7R w - - 0 34,+5782
8/2k5/B5K1/P4Q2/3R4/8/P2P4/8 b - - 12 44,#+2
4k2r/B6p/8/4p1n1/8/b7/RrP1R3/4K3 b k - 0 28,-1014
r1bqkbnr/ppp1p2p/n2p4/5pN1/8/4P3/PPPP1PPP/RNBQK2R w KQkq - 0 5,-51
1nbqkbnr/1Qpp1ppp/4p3/8/1p2P3/8/r1PP1PPP/R1B1KBNR w KQk - 0 7,-945
6nr/1p2k3/2p1B1pp/6N1/5Pp1/NP6/3K4/5R2 w - - 0 23,+458
8/5k2/1B6/8/8/7K/3Rp3/8 b - - 4 48,-92
rnbqkbnr/pp1pp2p/2p2p2/6p1/2P1P2P/1P6/P2P1PP1/RNBQKBNR w KQkq - 0 6,#+1
7R/2p5/3k4/p7/6P1/4K3/8/2R5 w - - 2 45,+1353
8/7k/Q1p5/6P1/NP6/P3P2P/3B4/R3K3 w - - 1 35,#+4
2b1k3/3p1p2/2p2q2/1p2P2p/1p6/1P5P/3P4/2rBK1N1 w - - 3 25,-842
6k1/8/5r2/4B1K1/8/3P4/8/8 w - - 0 48,+1469
1nk4r/1pp1bp1p/3qp2p/3p3P/3P1N2/2PK4/5PP1/RNQ4R w - - 3 17,+583
8/B1pk2p1/5n2/5b2/p7/P6p/P6P/4K3 w - - 0 40,-835
1n6/8/8/p5k1/8/PP1P1K2/8/RN3R2 b - - 5 48,+1263
r4rk1/pq2p1b1/n4p2/2p3Pp/P7/1P3P2/2PP1P2/RNBQ1KNR b - - 0 15,+571
7r/8/8/8/1p6/7k/3K3P/8 b - - 3 48,-1956
8/8/3n4/7p/5k1P/8/5K2/1N6 w - - 9 46,0
5k2/7p/N5n1/2p4r/8/5P2/3Kb3/6N1 b - - 2 44,-1132
3n2k1/3B4/8/8/4P3/R4P1N/P7/6K1 b - - 0 46,+1348
6k1/3r4/8/p3B2p/P6P/6K1/8/6R1 w - - 5 49,+783
rnb1kbnr/3pp2p/p4p2/Rp4p1/1P2B3/6PP/2pPPP2/2BQK1NR w Kkq - 0 13,+1137
r1b1k2r/pp1p1ppp/nq6/2b1pn2/2P3P1/N3PP1N/P2P3P/R1BQKB1R w KQkq - 1 10,+426
1r6/2k5/P7/7p/2PNp2P/B2p4/3P4/R3K3 w Q - 5 39,+1159
rnb1kbr1/1ppqp1pp/3p1p2/p2P4/P4Pn1/4P3/1PP4P/RNBQKBNR w KQq - 1 8,+135
rnb4r/2q3kp/pp6/3p1P2/1p6/N1PPP3/R5PP/2Q1K1NR b K - 1 18,-78
Bn3k1r/3p2pp/2p4n/5P2/2Q1BP2/1PN1P2P/P7/R3K1NR b KQ - 0 20,+2496
rnbqkb1r/2pppppp/1p5n/p7/2P1P2P/1P3N2/P2P1PP1/RNBQKB1R b KQkq - 0 6,+87
4k3/8/1p2p3/5p1p/8/8/4K1r1/1r6 w - - 12 42,-6023
8/3K2k1/1p4p1/1pr4p/5N1P/4P3/8/5b2 w - - 10 40,-962
8/1b1k1p1R/4pP1p/7P/3r4/B7/3PK3/1N4r1 b - - 3 33,-631
1n6/4n3/8/5k2/PbP5/8/8/5K2 w - - 2 47,-885
rnb1k3/pp1pp1b1/5n2/1p3p2/5q2/3PP1P1/P1P1N3/RN1K4 b q - 1 13,-2039
1nb5/rp1k1p1r/3Pp2p/p1p3pP/PP6/B1KPP3/3N4/2Q2BN1 b - - 1 25,+719
3q1k1r/1b1p1p1p/4Rb2/r4n2/4PN2/5pP1/1PPP3P/2B1KB1R w K - 0 18,-1286
r7/1n2k1p1/8/p4p2/P2p1P1P/R1P5/6PN/2K2R2 w - - 0 28,+969
6k1/8/8/8/p4p2/N3P3/5K2/8 b - - 1 46,-60
2kr1bn1/pp2ppp1/n5Br/2p5/P7/8/RPq1NKPP/R7 w - - 2 18,-1094
8/8/8/4p3/N2P1k1P/8/P1P2K2/8 w - - 0 46,+1190
4k2B/8/3R4/3p4/P7/3B4/4K3/1N6 w - - 7 46,+2876
rnbqkbnr/ppppppp1/7p/8/8/1PP5/P2PPPPP/RNBQKBNR b KQkq - 0 2,-68
rnb1k1n1/ppppqp1r/6pp/2b5/1P3P2/4PN2/P1PP2PP/RNBQKB1R w KQq - 1 7,+1050
rnb2bnr/pp1ppkpQ/2p2p2/q7/P1P5/8/1P1PPPPP/RNBK1BNR b - - 2 5,-1165
r1bqkb1r/1p2nppp/2n5/1Q6/8/2P5/PP1PPPPP/RNBK1B1R b kq - 2 8,-250
8/4k1K1/3p4/p7/P1p1q3/8/8/8 b - - 7 48,#-8
6r1/5kpp/2r1pn2/8/1N3K2/8/1n6/8 b - - 3 40,-6583
rn4nr/pb1kp2p/p7/2p1bPp1/2P5/4PP1N/1P1P1K1P/1NB2B1R w - - 1 14,-311
rn1k1bnr/1pp2pp1/p2p3p/4p3/N3P3/P2P1P1q/1PPQ2PR/R1B1KB2 b Q - 0 10,-840
2k5/8/p1p3pr/P6r/8/8/6K1/8 b - - 0 46,#-8
5b2/p5p1/3p4/Q1pk2BP/8/2PP2R1/8/4KN2 b - - 0 31,+1656
rn6/p4k1B/3p3n/1p4p1/8/7P/p6R/3K4 b - - 1 30,-1491
8/k3n1b1/p5p1/4pp2/P4P2/3P3N/n6P/5K2 w - - 1 36,-890
R7/2k3p1/4p3/1BKp1p2/8/8/6rP/8 w - - 1 39,+387
1n1k1bn1/3b2pr/4p2p/3q4/5P1P/1P2K2R/PR2P1P1/2B2B2 b - - 1 20,#-1
1rq2b1r/p5kp/4p1p1/1pp5/3P4/1PP4P/P2R4/1RB1KBN1 w - - 1 19,-787
r4knr/p1p4p/n2pb3/3q1p2/p7/1PP5/P1R1K1P1/5BN1 b - - 1 19,-2239
3k4/4r2p/p1n4n/8/2P4P/PK2P2b/4P3/8 w - - 2 28,-1393
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,+40
rn3knr/p1p1p1bp/1p6/2Bp4/1P2Pp1P/3P2PB/P1P2P2/RN2K1R1 b Q - 0 15,-651
4r1r1/p4k2/4p2p/n7/4P2p/3P1P2/3K4/2B5 w - - 0 29,-1712
k7/8/8/7R/P1P5/3P4/8/4K3 b - - 8 45,+1339
1rb1kbnr/ppBpqp2/6p1/3p3p/8/4PPPN/PP5P/RN2KB1R b KQk - 0 10,-1300
r1k3nb/4B3/8/p5p1/b7/4K1P1/1R6/2N5 w - - 0 27,-635
2b1k1nr/p2p1ppp/n3pq2/1rp5/2P1P3/3P1N1P/PP1Q1KP1/R1B2B1R w k - 0 12,+1059
1nb1kbn1/r4p2/2p1P3/p2p4/8/1P2PPB1/N7/R3KBr1 b Q - 0 18,-1434
r1b1kBr1/pppp1p1N/3b2p1/4p2P/8/3P4/nPPNn1PR/R3KB2 w Qq - 0 17,+822
rnbqkbn1/1ppppp2/8/p5pr/1P3P2/8/P1PPP2P/RNBQKBNR w KQq - 0 5,-98
r1bqkbnr/pppppppp/2n5/8/8/5P2/PPPPP1PP/RNBQKBNR w KQkq - 1 2,-45
r1bk3r/1ppp2pB/4p3/p2n4/P1P2b1P/1n5N/R3P2P/1NBQK2R w - - 0 15,+1470
2k1n3/P7/3p4/3B1p2/5PP1/7P/5K2/1b6 b - - 0 36,+748
rnbqkbnr/1pppp1pp/5p2/p7/P7/4P2N/1PPP1PPP/RNBQKB1R b KQkq - 1 3,-1
8/5k2/8/p1p2p1p/P3R3/5K1N/8/8 b - - 2 46,0
8/6p1/3k4/3P2br/2n2N2/6P1/1PK5/R7 w - - 1 33,+620
7r/1n6/7k/8/8/7P/1b6/6K1 w - - 0 47,-1208
rq3k1r/ppp1bppp/3P1n2/8/PnP1P3/1N1Q1P2/1B2B1b1/R3K1NR w KQ - 0 18,+482
r2qk1n1/3b2R1/1p2pp2/3p4/p2P1P2/1pP5/5KP1/R1b5 w q - 0 23,-1101
B3kbnr/2B1p1p1/p4p2/7p/7P/nPK4N/P4PP1/3R3R b - - 1 17,+909
8/1b1np3/1pp2k2/p4p2/5bB1/PPN5/2P3P1/R1BK4 b - - 0 26,+130
r3k1nr/5p1p/n1p1b3/ppp1p1p1/4P3/b4QKP/P2PB1P1/1RB3NR w kq - 0 16,+890
3k4/6R1/8/7p/1P1PB2P/5P1N/5K2/N7 w - - 9 41,#+6
N5k1/7p/p1n4B/6p1/2K5/P4PP1/P1P1N2P/R4B1R w - - 0 23,+2896
1nN2k2/3p4/8/1Np1ppp1/1P4r1/3P1PP1/4PKB1/2B4r b - - 0 23,-37
r2r4/pb1p2bp/4p3/3k2q1/P1PP1nB1/5P2/RP5P/1NBQ1RK1 b - - 0 22,+125
8/2n3b1/1k6/1p5p/3p3P/P7/5K2/8 w - - 1 39,-1187
r2qkbr1/p2bp2p/5pp1/2P1n3/4P3/B4N2/P2P1PPP/RN2K2R w KQq - 1 12,-968
5k2/2p2B2/1p3p2/r4P2/1p6/1P1P2P1/4b3/2B1K3 w - - 0 26,-291
5k2/4p1bp/5p2/4n3/4q3/8/7K/8 b - - 3 44,#-4
rnb1kbn1/pp1p4/8/3pp2p/1PP1P3/P4QP1/3q3P/RNBK1B1R w q - 0 14,+1755
B1b3n1/2p2k2/7r/n3P1Bp/4P2N/P4Pp1/2P4P/RN2K2R w KQ - 1 17,+1734
8/6k1/8/p1p2K1p/P1P5/BRN4N/7P/4R3 b - - 6 41,#+4
3k4/1R6/8/3p3n/4p3/1P3N2/3Q4/4K3 b - - 0 36,#+3
8/4k3/3p4/3p4/8/4K3/5PN1/8 b - - 3 41,+970
b2k2nr/pr3p1p/1p1p4/3p4/P3NP2/8/4P1PP/3QKBNR b - - 1 18,+975
r4r2/5k2/6pn/2Q4p/1b1PN1b1/6pP/2K3P1/1RB3R1 b - - 3 30,+191
4k3/3ppp2/pB3np1/1p6/1P4r1/P1P5/R7/1N3K2 b - - 2 26,-19
rB2kbnr/p3pp2/b5pp/1N6/4P3/6P1/PPP1PP1P/1R1QK1NR w Kkq - 0 12,#+1
rnb1kb1r/pp1ppppp/5n2/2p5/5P1P/2P3P1/Pq1PP3/RNBQKBNR w KQkq - 0 5,+1108
r3kbn1/pb2pppr/npp5/6N1/2Pq3p/N4P2/PP2PKPP/R1B2B1R w q - 0 10,-875
rnb1kb2/pp1p1p2/2p5/4p1B1/4Q1P1/NP6/P1P1KP1r/R4BNR b q - 0 12,+1855
rn1qkbnr/1p3pp1/p2p4/2p1p2p/P3P3/5PPB/1PPP3P/RNBQK2R w KQkq - 0 7,+62
1nbqkb1r/1ppp2pp/3p4/p2n4/P6P/3P4/1PP2Pr1/R1BQKBNR w KQk - 0 10,+301
bnnN3r/2pp2kp/4p3/1p6/4PQ1P/3P4/5PPR/RNn1KB2 b - - 6 19,+1791
1r5B/8/3k4/8/7P/5pP1/3K4/8 w - - 5 43,-554
2b4B/5k1n/2Ppp3/p7/2P1P2p/7P/2Q1P1P1/3K1B1R b - - 1 29,+1563
r1b3nr/Pp3k1p/2np4/4pp2/2P2p2/R6N/3PP1B1/2B1K2R b - - 0 22,-150
8/r2pk3/6p1/P7/2N4P/2PK4/P7/8 b - - 2 30,-284
6kr/8/7p/5p2/8/5RP1/1P6/1KB5 b - - 1 42,+662
1r2k2B/5p2/8/p7/6RP/P7/P7/4K3 b - - 4 31,+662
8/6k1/8/4P3/1K6/6p1/R2r4/8 b - - 3 45,-1643
r1b1qbn1/ppp5/4pk2/3p1B2/3P1P2/1P2P3/N1P3PP/1R2K1NR b K - 2 14,-924
r1bk3r/1p1n2pp/8/p3p3/P7/4P3/1PPbK3/RNBQ1R2 w - - 0 17,+1144
1n3b2/1p1kPnr1/2pp4/8/1P4Pp/5r1B/4K2P/RN5R w - - 0 26,+1471
rnbqkbnr/ppp1p1pp/5p1B/3p4/8/3P4/PPP1PPPP/RN1QKBNR w KQkq - 0 3,-46
r1b2bn1/p1knp3/6P1/8/1p6/5P2/3P1KR1/1r6 b - - 0 27,-2171
6k1/8/p2P4/2n5/4p1p1/P7/3N4/2R3K1 w - - 7 38,+1244
8/8/8/7P/2P5/3k3K/8/8 b - - 0 48,+1409
5k2/1R1n4/4p3/8/4P3/8/1B1PK3/8 b - - 0 32,+908
3k1r2/rp5p/4Rnp1/1p6/8/2P1P3/3P4/2BQ2NK w - - 0 25,+827
2br4/1p3k2/R2pp3/6p1/1P3P2/7p/4K2R/8 b - - 1 25,-866
rnbqkbnr/pp3ppp/2p1p3/3p4/8/PP4P1/2PPPP1P/RNBQKBNR w KQkq - 0 4,+28
r6r/4pkbp/p2p4/3P1p2/8/P3B2N/R3P3/1N2KB2 b - - 3 17,+500
r7/7k/5P2/1P2p3/2p1K3/8/2P5/8 b - - 11 42,-736
r1br4/pppk4/2n1np1p/1P6/5N2/R1P5/2PKP1PP/5B1R w - - 7 22,+21
r2k4/6pr/2p4n/PP5p/3p1P2/8/2QbPPBP/R4K1R b - - 1 29,+1513
8/p2n4/b3k2p/1N6/4B2P/1P4r1/P1PP1K2/R5R1 b - - 1 31,+1089
r1q4r/p1pP3p/3b1k2/8/P3P1P1/3Q1R2/1P2PKB1/R5N1 b - - 2 27,+1855
rnbqkb1r/pppppp1p/6p1/8/2P3n1/N7/PP1PPP1P/R1BQKBNR w KQkq - 0 4,-226
1r2b2r/1pp1bkpp/pn3p2/4Q3/2P1P2P/N2q1PB1/1P4PR/2R1KB2 w - - 0 21,+760
2r3kr/p2p2p1/4p1p1/4P2p/7P/1P3KPR/P2p4/R7 b - - 0 28,-466
r1b1k1nr/pppp1ppp/n3p3/8/5PP1/B1N4P/2PPP2R/R2QKBN1 b Qkq - 0 8,+1482
rnbqkbnr/2ppp1pp/pp6/5p2/8/N2P1P2/PPP1P1PP/R1BQKBNR w KQkq - 0 4,-7
r1b5/2pk3p/p1p5/5P2/2P2p1q/P1K2N1P/5Pr1/RNQ4R b - - 1 23,+181
r3k3/p6r/3pb3/7p/8/P2RP1P1/5K2/1N6 w q - 0 31,-758
r1b1k1nr/p2p2b1/1p5p/8/3p2K1/N7/PPPP1qP1/R1B2B2 b k - 1 17,#-3
rnbqkbnr/1p1pp1pp/5p2/p7/P2p4/2N4N/1PP1PPPP/R1BQKB1R w KQkq - 0 5,+116
5bn1/4k3/1r5r/5p1p/6nP/2R5/4N3/1N5K b - - 1 39,-1187
1rbQ3r/p5b1/Bp2p3/2p1P2k/6pP/P1P1P3/1P4PR/RN1K2N1 w - - 0 21,#+1
rnb1kbnr/1p1pp1pp/p7/2p2p2/7P/1PNP1P2/q1P1P1P1/R1BQKBNR w KQkq - 0 6,+1215
r1bqkbnr/p1ppppp1/n7/1p5p/1P1P2P1/8/P1P1PPBP/RNBQK1NR b KQkq - 1 4,-31
rnbqkbnr/p1ppp1p1/1p6/7p/3P1p2/NPP5/P2KPPPP/R1BQ1BNR w kq - 0 6,+171
rn2kb1r/p1P1q3/1p1pp1pp/8/1P6/P3N1n1/2K1PP2/RNB2B2 b - - 0 25,-1496
1k2N3/1b6/1n1P3n/p3p3/P7/1P6/5PP1/4KBN1 b - - 0 28,+296
1nbqkbnr/2ppp3/1p3p1p/6pP/3P4/6P1/4PP2/R1BK1BNR b k - 0 13,-1151
r1b1kb1r/p1p2ppp/2p1pn2/8/P7/3P3N/1PPQKPPP/R1B4R b kq - 0 11,+841
rn3bn1/p3qk2/p2p1p2/2p1p2P/4P3/Pb6/1PPPKP2/RNB5 b - - 6 21,-1925
r1b1qbnr/pppppk2/5p1p/3P2P1/6P1/P7/1B1PP2P/RN1QKBNR w KQ - 2 9,+860
2n1r3/1k6/8/7p/3P4/r5p1/2K3P1/8 b - - 3 41,#-4
8/1k4n1/4p3/8/8/6K1/8/1r6 w - - 4 50,-1144
rnbqkbnr/1p1p2p1/2p2p2/p3p2p/7P/P1NPPN2/1PPK1PP1/R1BQ1B1R b kq - 1 7,-129
rn1k1b1r/p2p1pp1/b1p1p2n/7P/1PpP4/N7/P1QKPPP1/R4BNR w - - 0 11,+765
2b1k3/3p4/7P/1q2p3/2N5/8/2P1PP2/K1Q2B2 b - - 2 23,+473
r4br1/2pqpk1p/p1np4/3b3p/8/4P2p/1PPBN2R/R3K3 w - - 0 23,-1737
rnb1kbnr/p1q1p1p1/5p2/3p2Np/8/5P2/1PPPP1PP/RNBQKB1R w KQkq - 0 9,+109
rnbqkbnr/pppppppp/8/8/8/6P1/PPPPPP1P/RNBQKBNR b KQkq - 0 1,+7
r5r1/1b1p3p/ppp1k2b/4p3/4K3/8/8/8 b - - 7 48,-7917
1nr5/3k3p/4p3/p1p5/6PP/4b3/8/7K b - - 9 48,-2466
rnb1kbnr/1pp2pp1/3pp2p/p7/q3P1PP/2P5/PP1PKP2/RNB2BNR w kq - 0 7,-1364
r1b4r/1ppk1p2/p1n5/4p1pp/4P3/P2PBP2/P3N1PP/R3KB1R b KQ - 1 13,+814
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,+39
3k4/2r4b/8/2p1p1p1/1pNp2P1/2R2P2/1PP4P/2K3R1 b - - 2 32,-17
r1b5/8/pP3k2/8/PQ3P2/3n3B/2K4P/4R3 w - - 0 35,#+5
rn2k1r1/pp5p/3Q1p1b/4p1pP/2P1P1q1/8/PP1P1P2/RNB1KBNR w KQq - 1 12,+1209
3k4/r7/p4ppp/8/3P1P1K/1P6/6r1/8 w - - 2 40,-1675
6NR/5k2/7P/8/PpP5/P7/K7/8 w - - 0 41,+5783
r1q1kbnr/p1pp1ppp/P7/4p3/5P2/R6N/1PPPP3/1NBQKB1R w Kkq - 0 8,+1135
8/n2kN3/1p6/4p1PP/8/1Bb1Pb2/3P4/1N4K1 w - - 0 32,+931
5k2/8/4pn2/n5pP/5B2/7P/PqBPPP2/4K1NR w K - 1 30,-332
rnb1kbnr/ppqpp1pp/2p2p2/8/2P3P1/1P3P2/P2PP2P/RNBQKBNR b KQkq - 0 4,-107
4kbnr/p7/np6/2p1p1pp/1PP3b1/3rP3/P4P1P/RNB1K1NR w k - 0 18,-875
1nk5/rp3p1p/P1pp4/3Pp3/P1P1NP2/1Q4rP/2K1P1B1/R6R b - - 1 22,+1311
3n2n1/8/5k2/p1p5/P5Pp/1b3K2/1b6/8 b - - 9 42,-6171
r7/8/p7/1pPk3p/P4P1P/4K3/8/1N6 w - - 3 34,-543
8/1n1p4/1p2k3/5pb1/Pp3P2/5NPr/4P3/RK1R4 w - - 2 29,+1243
8/2R1p3/2p2k2/5p2/8/8/4n3/5K2 b - - 6 35,-314
r1bq1b1r/p1pp1p1p/n2k2p1/1p2p3/P3P1n1/5P2/1PPP1KBP/RNBQ2NR w - - 0 10,+569
rnbqkb1r/pppppppp/7n/8/8/5PP1/PPPPP2P/RNBQKBNR b KQkq - 0 2,-65
8/7R/8/5rk1/p4p2/P2K3P/7P/5N1R w - - 1 36,+1089
rn1k2nr/8/p7/1R2P2p/8/3PK3/P5B1/RN1Q4 b - - 0 24,+1187
1rbk4/1ppp4/6P1/K2Pp3/R7/n7/5r2/8 w - - 8 37,-1505
6n1/6kr/8/4p3/3N3p/8/8/6K1 b - - 3 49,-2162
rBbk1b2/1p1p2p1/2n4r/p7/3Q4/1PP5/4PP2/qN3KN1 w - - 3 16,-1805
4n1k1/8/8/6pr/p3K3/2N5/6PB/5B2 w - - 2 46,+59
1n5r/2pk1p1p/r2b2p1/1P1p4/4QBb1/5N2/RPP2PP1/1N2KB1R w K - 1 15,+1449
r7/p7/3k4/K6p/4p1b1/8/8/6b1 b - - 1 48,-7100
rnbqkbnr/ppppppp1/7p/8/P7/1P6/2PPPPPP/RNBQKBNR b KQkq - 0 2,-24
8/4k3/8/1P5p/3P4/6K1/8/8 b - - 6 44,+1180
1R3b1r/k3p1p1/1p1p1n2/1b3p1p/2P4P/3P2P1/2Q1PP1R/1N2KBN1 w - - 1 19,+2772
4k3/8/6p1/p7/7P/8/8/1KnR2N1 b - - 3 45,+644
4k3/7n/2p5/p1p5/P3p1b1/4n2r/5N2/6K1 b - - 1 37,#-3
1rbk2nr/p2ppp2/2p4p/1B6/5P2/P3P2P/2PP1K2/RNb3NR w - - 1 13,-69
1r3b2/4r3/1p2k3/p5p1/P1K5/RP6/5P2/5B2 w - - 0 33,-756
2rk3r/1p3n2/p3B3/2b1P2P/3P4/P1N2N2/1BRP4/4K3 b - - 0 30,+960
4kb2/4p1r1/2p2p1n/8/Pn3P2/4P2K/7P/5R2 b - - 1 29,-1272
2k5/p6p/b2P4/p7/2p3PP/8/7K/8 b - - 1 44,-999
6kr/4r2p/5n1q/1NB5/2P5/5p2/P2P2P1/R1K3N1 w - - 0 28,-662
1n1qkbn1/2pppp2/8/1N4P1/8/1P1QPb2/r1PP4/R1B2KN1 b - - 1 14,-509
4k3/3npp1r/1p4pb/4R1Pp/8/rP5N/7q/4K2R b - - 3 24,#-1
r7/p3k3/b5N1/8/3R4/Pr6/8/4K3 b - - 0 38,-680
rn2k1nr/1p6/2p2p2/p2p4/3P1B2/NP3B1R/2P1P3/2RQK1N1 b kq - 0 18,+1649
rnbq1Nk1/p2p2pp/1p6/2p2p2/8/5B2/PPPQP2P/RNB1K1n1 w Q - 0 15,+603
rn3k1r/p1pqnp2/p2R4/3Pp3/2P4p/NP3P2/RB2K1P1/3Q1Bb1 b - - 0 22,-836
5R2/8/3Pk3/p5p1/P5P1/2P4K/4P2N/8 w - - 1 36,+5740
r6k/1q4p1/8/1pp4K/8/8/8/8 w - - 1 50,#-10
8/8/3R1k1n/r7/8/2P1P2p/5K2/8 b - - 1 45,-646
8/1k6/1r3P2/3b1n1P/5p2/8/2R1K3/8 b - - 1 48,-1080
6R1/8/8/k6p/2P4P/6K1/8/8 w - - 2 50,+1326
5k1r/2pp1R1p/8/8/7N/P6P/1r4P1/5KNR b - - 0 25,-193
4k3/2p2p2/1p1p4/5P2/1P6/r3q3/6K1/8 b - - 0 32,#-2
3r1k1r/2p2p1p/B3p2n/p2p3p/P2P1P1P/4P1b1/1PKR4/RN4N1 b - - 0 24,+266
7k/4P3/6p1/p7/P1PRP3/1K6/6P1/R4BN1 b - - 0 41,+3548
k5B1/8/8/4P3/1K6/2P5/8/5b2 b - - 4 50,+1084
r2q4/2pkn2R/bp3p2/3Bp1r1/1n1PP3/NP2K3/2P2PP1/R1BQ4 b - - 1 20,-139
r1bqkbnr/pppppppp/n7/8/6P1/1P6/P1PPPP1P/RNBQKBNR b KQkq - 0 2,-104
1n6/6b1/8/2p5/P1P1K2k/8/8/8 b - - 0 40,-656
8/2k5/8/1B5p/P1Np3n/1R3PPR/4K3/8 w - - 0 38,+6576
r1b2b2/p3pprp/1p4p1/4k3/q7/6PN/1PPP3n/1RBK2R1 w - - 0 17,-1798
r3kb1B/p1p4p/1pn5/3P4/5pnP/7P/P2PPK2/RN3BNR w - - 3 18,+1470
q5k1/6pp/5r2/8/1n5r/5pK1/8/8 b - - 1 36,#-3
6k1/8/8/5p2/6p1/1P6/1P1N3r/4K3 w - - 5 44,-758
3r4/5p2/k4n1b/1p1p1P2/1Pp3p1/2P5/6pP/3K4 b - - 4 44,#-2
rnb1k1n1/3pp3/p1p5/2P2P2/5PP1/b2P1B2/2q2NK1/8 b - - 4 28,-2482
rn1q4/3kp3/1p1p2P1/p1p2pB1/6bR/1PP5/P2N1K2/R7 w - - 0 27,-660
rnbqk3/p1pp1p2/4P3/1p6/PPB5/R3P3/2QN1PPn/2B1K1N1 w q - 1 18,+1875
rn2kbn1/ppp1pppr/8/3p4/6q1/2P5/PP1PP1PP/RNB1KBNR w KQq - 0 6,-857
r7/b1k5/7P/6b1/8/5K2/4N3/8 b - - 1 50,-645
r2qkbn1/pbppr3/2n3pp/1p2pP1P/5P2/3P1B2/P1PBP3/RN1QK1NR w Qq - 1 16,+83
rnbqkbnr/ppp1p3/3p2p1/3P1Q1p/8/8/PPP1PPPP/RNB1KBNR b KQkq - 0 5,-1172
1n2r3/r1R5/2p1k3/p7/2pb1pb1/N5P1/P7/2B2K2 b - - 1 31,-3030
rnbqk1nr/p1pp1ppp/1p1b4/8/2Pp4/4B3/PPQNPPPP/R3KBNR w KQkq - 2 6,+133
r1bq1bB1/4p1pr/2p3k1/4np2/Pp1PpP2/8/R1PN1KPP/3Q3R b - - 0 18,-995
5n2/3k4/1P1b1p1r/8/R1PpKp2/5N2/8/5B2 w - - 2 35,+355
r1Qqkbn1/p4ppr/B7/3pP3/3P3p/2P1P2N/RP1K2PP/1NB4R b q - 1 13,+342
