fen,eval
1n1k3r/p2q2pp/8/1p1p1p2/5Pn1/b5PN/3NPK1P/R4R2 w - - 4 20,-1172
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,+31
2b5/4k3/r1pp4/8/6p1/8/5nK1/8 w - - 8 49,-2215
6nr/4k2p/3b4/6P1/6PK/8/q7/8 b - - 1 33,#-1
r1br4/4k1pp/8/p2P1P2/P1Bn1P2/7P/3K2P1/6NR b - - 2 28,-738
rn2k1n1/pp2bpp1/8/2p5/2B4P/1PN5/P1PK1P2/R1B2b1R b q - 0 12,+271
2bq4/1ppp1k2/r1n3p1/p4p2/2P2P1r/PPBK4/6B1/RN4NR w - - 4 22,-285
4kbnr/5pp1/1pn5/1R2p2p/7P/1p2PQ1N/2PP1P2/1N2KR2 w k - 0 17,#+5
3k4/2p2pB1/p5n1/P3b3/4K3/5R2/3PN3/8 b - - 3 36,+561
rn1qk2r/5pp1/4p3/p2p3p/3P4/1P5R/2PKNPPR/2BQ1B2 w kq - 0 14,+1063
r1b1qb1r/pp2p2p/8/2pp1k2/2B4P/P4N2/1PP3P1/RNB2K1R w - - 0 14,-147
r3k3/p3P3/6p1/8/8/1P3bPr/P1K1P1R1/5B2 w - - 3 29,+25
rB1k1b1r/5pp1/bp2p2p/p1P5/1P6/7R/P2NPKP1/4RB2 w - - 1 23,+483
4rkn1/p2np3/bR1p4/5p2/8/2K4N/P6q/8 b - - 1 30,-7533
3k1b2/3n3r/1qnp2p1/1rp3Pp/8/3P1P1P/7N/6KR b - - 0 27,#-6
1k3r2/7R/n7/2pQpnb1/8/P1P2B1N/3BK3/7R b - - 0 29,#+6
6k1/p7/6r1/3N1Pb1/P5Q1/8/4KP1P/R7 b - - 1 32,+1582
4rk2/8/p7/7K/1b2b3/7n/P7/8 b - - 3 40,-1591
2r1kb1r/2Q2ppp/1p6/p2Np3/4P1bP/8/PP1B1P1R/R3K1N1 b Qk - 0 17,+1051
r2qkbnr/pp2ppQp/2p1b3/3p4/4P3/N1P2N2/PP1P1PPP/R1B1KB1R b KQkq - 0 8,-784
5r2/5p1p/p2kpb2/Bp1p4/7N/2PP1Q2/7P/RK5R b - - 0 28,+1684
rn3k2/7r/8/3p1nP1/3P3P/3P4/3N3R/2K5 w - - 0 32,-653
6n1/q3kp2/p7/Kp1pp3/8/P6p/2B1P2P/7R w - - 2 46,-883
r4b1r/p1q5/n1k1p2n/1p5p/3P1P2/2P5/PP1Qb2P/RNB2K2 w - - 0 15,-862
r2qk1nr/1p2p1b1/6pp/p1p5/3p2P1/1P6/P1P4P/R1B1KBNR w kq - 1 16,-881
rnq1kbnr/ppp1pp2/1N4pp/8/6Q1/7N/PPPP1P1P/R1B1KBR1 w Qkq - 1 8,#+1
rq2k2r/pnpp4/5n1P/1b6/p2p3K/P7/RP2P1PP/1N3B1R w q - 0 21,-2544
5kb1/8/1p6/2pp1p2/2P2r2/8/4P3/4K3 b - - 0 34,-5750
1nk5/r4p2/2ppp1B1/p6p/4K3/3N3b/Pb2P3/7R w - - 4 35,-749
rnk3r1/7p/p1Np3n/6B1/PP2p3/2b4P/R1P1PP1K/3Q1R2 w - - 0 23,+1364
1r3b2/pB1k1bpr/5n2/8/PP6/K1P1P1p1/3B4/R7 w - - 3 32,-1160
rnbqkb1r/pppppppp/5n2/8/1P6/5P2/P1PPP1PP/RNBQKBNR b KQkq - 0 2,-163
2k1b3/r4N2/p3p3/p3P2p/2PP3P/4R3/3K1P1P/7R w - - 3 34,+1258
r2q3r/2p2kpp/4b3/pP1pn3/4BP2/NPP2N2/3P1P1P/2B2RK1 b - - 0 19,-952
1n2k2r/Np2ppbp/2p1b1p1/3p3P/6n1/P1P5/P2PPPP1/R1BK1B1R b k - 0 13,-707
1k5r/5pp1/1p2pnRp/1P6/7P/B6R/r1PK4/4N3 w - - 1 30,+509
1k6/8/4p3/n5p1/3P4/R5b1/8/5K2 b - - 0 45,-35
6n1/R7/8/2p3N1/n1k5/P4b2/R7/1N2K3 w - - 2 34,+961
r1b1kbn1/pp1pqppr/n1p1p2p/1Q6/P7/3BP3/1PPP1PPP/RNBK2NR b q - 3 9,-920
r1qk3N/p1p1p3/1p1n4/5p1p/PP1R1P2/7B/Q2KP2P/6R1 w - - 1 24,#+3
1rbq2nr/pp1kpp1p/2n4b/1Bp5/1P1PP1p1/8/P1P2PPP/RNB1K1NR b KQ - 0 9,-1407
rnbqkbnr/ppppp1pp/5p2/8/8/3P4/PPP1PPPP/RNBQKBNR w KQkq - 0 2,+65
2rqkbnr/pb6/2N1ppp1/4n1B1/3p4/1PP2P1P/P3B1P1/2K1R1NR b k - 3 18,-1787
1nbqk2r/3pnp2/1p5p/2p5/r3PN1b/1P1B4/2PPK1PP/R1BQ2R1 w k - 0 15,+378
8/7p/1pp3k1/8/4P2p/2PR4/1P1B4/1N2K3 b - - 2 33,+1349
8/3p3k/p7/8/P7/7p/2bK4/8 w - - 2 38,-1154
7k/6b1/P2p3n/p7/8/NR3NP1/6B1/6K1 w - - 4 36,+1876
4kr2/p7/7p/8/4n3/4PRp1/2P5/1R1K4 w - - 0 32,+574
rnbqkbnr/1ppppppp/p7/8/8/5NP1/PPPPPP1P/RNBQKB1R b KQkq - 1 2,+48
8/8/3p4/1P6/2B4k/2P1PP1P/3N4/3KR3 w - - 3 43,+6998
2k5/p2p4/2p1pp2/7B/3PP3/8/P1PQ1PN1/4K2R b K - 2 22,+1716
rn3bnr/1p2pp2/p2k1p2/2p4p/5P1P/2PQ3P/PP1NP2R/R1BK1B2 b - - 1 19,+1208
rn1qkb1r/ppp1p1pp/3p1n2/8/P2PPBb1/1P6/2P2PPP/RN1QKBNR w KQkq - 1 6,+278
1nbqkbnr/3ppppp/2p5/8/1QP2N2/4P3/1P1P1PPP/1rB1KB1R b Kk - 0 8,-1582
rnbqkbnr/p1ppppp1/8/7p/2p4P/2N2P2/PP1PP1P1/R1BQKBNR b KQkq - 1 4,-219
8/6k1/1pB5/2p4K/R7/2n5/8/8 w - - 0 43,+520
1r1q1R2/2p1k3/2p2n2/p2p2p1/3P4/P7/1PP1PP2/R1BQ1K2 b - - 0 21,+11
8/6k1/6P1/8/P7/8/8/6K1 b - - 1 44,+1287
